trial,block,odor,A,B,C,D,E,F,G,H,I,type,code,device,device_odor,flow,total_odor_flow,carrier_out
96,11,H,0,0,0,0,0,0,0,1,0,000000010,24,2,4,40,40,860
97,11,D,0,0,0,1,0,0,0,0,0,000100000,14,1,4,40,40,860
98,11,E,0,0,0,0,1,0,0,0,0,000010000,21,2,1,40,40,860
99,11,F,0,0,0,0,0,1,0,0,0,000001000,22,2,2,40,40,860
100,12,C,0,0,1,0,0,0,0,0,0,001000000,13,1,3,40,40,860
101,12,D,0,0,0,1,0,0,0,0,0,000100000,14,1,4,40,40,860
102,12,E,0,0,0,0,1,0,0,0,0,000010000,21,2,1,40,40,860
103,12,B,0,1,0,0,0,0,0,0,0,010000000,12,1,2,40,40,860
104,12,F,0,0,0,0,0,1,0,0,0,000001000,22,2,2,40,40,860
105,12,A,1,0,0,0,0,0,0,0,0,100000000,11,1,1,40,40,860
106,12,H,0,0,0,0,0,0,0,1,0,000000010,24,2,4,40,40,860
107,12,G,0,0,0,0,0,0,1,0,0,000000100,23,2,3,40,40,860
108,12,I,0,0,0,0,0,0,0,0,1,000000001,31,3,1,40,40,860
109,13,B,0,1,0,0,0,0,0,0,0,010000000,12,1,2,40,40,860
110,13,I,0,0,0,0,0,0,0,0,1,000000001,31,3,1,40,40,860
111,13,H,0,0,0,0,0,0,0,1,0,000000010,24,2,4,40,40,860
112,13,G,0,0,0,0,0,0,1,0,0,000000100,23,2,3,40,40,860
113,13,E,0,0,0,0,1,0,0,0,0,000010000,21,2,1,40,40,860
114,13,F,0,0,0,0,0,1,0,0,0,000001000,22,2,2,40,40,860
115,13,A,1,0,0,0,0,0,0,0,0,100000000,11,1,1,40,40,860
116,13,C,0,0,1,0,0,0,0,0,0,001000000,13,1,3,40,40,860
117,13,D,0,0,0,1,0,0,0,0,0,000100000,14,1,4,40,40,860
118,14,H,0,0,0,0,0,0,0,1,0,000000010,24,2,4,40,40,860
119,14,F,0,0,0,0,0,1,0,0,0,000001000,22,2,2,40,40,860
120,14,A,1,0,0,0,0,0,0,0,0,100000000,11,1,1,40,40,860
121,14,D,0,0,0,1,0,0,0,0,0,000100000,14,1,4,40,40,860
122,14,I,0,0,0,0,0,0,0,0,1,000000001,31,3,1,40,40,860
123,14,G,0,0,0,0,0,0,1,0,0,000000100,23,2,3,40,40,860
124,14,E,0,0,0,0,1,0,0,0,0,000010000,21,2,1,40,40,860
125,14,C,0,0,1,0,0,0,0,0,0,001000000,13,1,3,40,40,860
126,14,B,0,1,0,0,0,0,0,0,0,010000000,12,1,2,40,40,860
127,15,E,0,0,0,0,1,0,0,0,0,000010000,21,2,1,40,40,860
128,15,C,0,0,1,0,0,0,0,0,0,001000000,13,1,3,40,40,860
129,15,A,1,0,0,0,0,0,0,0,0,100000000,11,1,1,40,40,860
130,15,H,0,0,0,0,0,0,0,1,0,000000010,24,2,4,40,40,860
131,15,I,0,0,0,0,0,0,0,0,1,000000001,31,3,1,40,40,860
132,15,D,0,0,0,1,0,0,0,0,0,000100000,14,1,4,40,40,860
133,15,F,0,0,0,0,0,1,0,0,0,000001000,22,2,2,40,40,860
134,15,G,0,0,0,0,0,0,1,0,0,000000100,23,2,3,40,40,860
135,15,B,0,1,0,0,0,0,0,0,0,010000000,12,1,2,40,40,860
136,16,B,0,1,0,0,0,0,0,0,0,010000000,12,1,2,40,40,860
137,16,I,0,0,0,0,0,0,0,0,1,000000001,31,3,1,40,40,860
138,16,C,0,0,1,0,0,0,0,0,0,001000000,13,1,3,40,40,860
139,16,A,1,0,0,0,0,0,0,0,0,100000000,11,1,1,40,40,860
140,16,F,0,0,0,0,0,1,0,0,0,000001000,22,2,2,40,40,860
141,16,E,0,0,0,0,1,0,0,0,0,000010000,21,2,1,40,40,860
142,16,G,0,0,0,0,0,0,1,0,0,000000100,23,2,3,40,40,860
143,16,D,0,0,0,1,0,0,0,0,0,000100000,14,1,4,40,40,860
144,16,H,0,0,0,0,0,0,0,1,0,000000010,24,2,4,40,40,860
145,17,B,0,1,0,0,0,0,0,0,0,010000000,12,1,2,40,40,860
146,17,C,0,0,1,0,0,0,0,0,0,001000000,13,1,3,40,40,860
147,17,D,0,0,0,1,0,0,0,0,0,000100000,14,1,4,40,40,860
148,17,H,0,0,0,0,0,0,0,1,0,000000010,24,2,4,40,40,860
149,17,G,0,0,0,0,0,0,1,0,0,000000100,23,2,3,40,40,860
150,17,A,1,0,0,0,0,0,0,0,0,100000000,11,1,1,40,40,860
151,17,F,0,0,0,0,0,1,0,0,0,000001000,22,2,2,40,40,860
152,17,E,0,0,0,0,1,0,0,0,0,000010000,21,2,1,40,40,860
153,17,I,0,0,0,0,0,0,0,0,1,000000001,31,3,1,40,40,860
154,18,A,1,0,0,0,0,0,0,0,0,100000000,11,1,1,40,40,860
155,18,B,0,1,0,0,0,0,0,0,0,010000000,12,1,2,40,40,860
156,18,G,0,0,0,0,0,0,1,0,0,000000100,23,2,3,40,40,860
157,18,C,0,0,1,0,0,0,0,0,0,001000000,13,1,3,40,40,860
158,18,E,0,0,0,0,1,0,0,0,0,000010000,21,2,1,40,40,860
159,18,D,0,0,0,1,0,0,0,0,0,000100000,14,1,4,40,40,860
160,18,H,0,0,0,0,0,0,0,1,0,000000010,24,2,4,40,40,860
161,18,I,0,0,0,0,0,0,0,0,1,000000001,31,3,1,40,40,860
162,18,F,0,0,0,0,0,1,0,0,0,000001000,22,2,2,40,40,860
163,19,I,0,0,0,0,0,0,0,0,1,000000001,31,3,1,40,40,860
164,19,E,0,0,0,0,1,0,0,0,0,000010000,21,2,1,40,40,860
165,19,F,0,0,0,0,0,1,0,0,0,000001000,22,2,2,40,40,860
166,19,C,0,0,1,0,0,0,0,0,0,001000000,13,1,3,40,40,860
167,19,B,0,1,0,0,0,0,0,0,0,010000000,12,1,2,40,40,860
168,19,A,1,0,0,0,0,0,0,0,0,100000000,11,1,1,40,40,860
169,19,D,0,0,0,1,0,0,0,0,0,000100000,14,1,4,40,40,860
170,19,G,0,0,0,0,0,0,1,0,0,000000100,23,2,3,40,40,860
171,19,H,0,0,0,0,0,0,0,1,0,000000010,24,2,4,40,40,860
172,20,A,1,0,0,0,0,0,0,0,0,100000000,11,1,1,40,40,860
173,20,I,0,0,0,0,0,0,0,0,1,000000001,31,3,1,40,40,860
174,20,B,0,1,0,0,0,0,0,0,0,010000000,12,1,2,40,40,860
175,20,G,0,0,0,0,0,0,1,0,0,000000100,23,2,3,40,40,860
176,20,F,0,0,0,0,0,1,0,0,0,000001000,22,2,2,40,40,860
177,20,D,0,0,0,1,0,0,0,0,0,000100000,14,1,4,40,40,860
178,20,H,0,0,0,0,0,0,0,1,0,000000010,24,2,4,40,40,860
179,20,E,0,0,0,0,1,0,0,0,0,000010000,21,2,1,40,40,860
180,20,C,0,0,1,0,0,0,0,0,0,001000000,13,1,3,40,40,860
181,21,E,0,0,0,0,1,0,0,0,0,000010000,21,2,1,40,40,860
182,21,C,0,0,1,0,0,0,0,0,0,001000000,13,1,3,40,40,860
183,21,I,0,0,0,0,0,0,0,0,1,000000001,31,3,1,40,40,860
184,21,H,0,0,0,0,0,0,0,1,0,000000010,24,2,4,40,40,860
185,21,A,1,0,0,0,0,0,0,0,0,100000000,11,1,1,40,40,860
186,21,G,0,0,0,0,0,0,1,0,0,000000100,23,2,3,40,40,860
187,21,F,0,0,0,0,0,1,0,0,0,000001000,22,2,2,40,40,860
188,21,B,0,1,0,0,0,0,0,0,0,010000000,12,1,2,40,40,860
189,21,D,0,0,0,1,0,0,0,0,0,000100000,14,1,4,40,40,860
190,22,B,0,1,0,0,0,0,0,0,0,010000000,12,1,2,40,40,860
191,22,I,0,0,0,0,0,0,0,0,1,000000001,31,3,1,40,40,860
192,22,E,0,0,0,0,1,0,0,0,0,000010000,21,2,1,40,40,860
193,22,C,0,0,1,0,0,0,0,0,0,001000000,13,1,3,40,40,860
194,22,H,0,0,0,0,0,0,0,1,0,000000010,24,2,4,40,40,860
195,22,G,0,0,0,0,0,0,1,0,0,000000100,23,2,3,40,40,860
196,22,D,0,0,0,1,0,0,0,0,0,000100000,14,1,4,40,40,860
197,22,A,1,0,0,0,0,0,0,0,0,100000000,11,1,1,40,40,860
198,22,F,0,0,0,0,0,1,0,0,0,000001000,22,2,2,40,40,860
199,23,G,0,0,0,0,0,0,1,0,0,000000100,23,2,3,40,40,860
200,23,E,0,0,0,0,1,0,0,0,0,000010000,21,2,1,40,40,860
201,23,F,0,0,0,0,0,1,0,0,0,000001000,22,2,2,40,40,860
202,23,I,0,0,0,0,0,0,0,0,1,000000001,31,3,1,40,40,860
203,23,A,1,0,0,0,0,0,0,0,0,100000000,11,1,1,40,40,860
204,23,B,0,1,0,0,0,0,0,0,0,010000000,12,1,2,40,40,860
205,23,C,0,0,1,0,0,0,0,0,0,001000000,13,1,3,40,40,860
206,23,H,0,0,0,0,0,0,0,1,0,000000010,24,2,4,40,40,860
207,23,D,0,0,0,1,0,0,0,0,0,000100000,14,1,4,40,40,860
208,24,I,0,0,0,0,0,0,0,0,1,000000001,31,3,1,40,40,860
209,24,G,0,0,0,0,0,0,1,0,0,000000100,23,2,3,40,40,860
210,24,H,0,0,0,0,0,0,0,1,0,000000010,24,2,4,40,40,860
211,24,C,0,0,1,0,0,0,0,0,0,001000000,13,1,3,40,40,860
212,24,E,0,0,0,0,1,0,0,0,0,000010000,21,2,1,40,40,860
213,24,B,0,1,0,0,0,0,0,0,0,010000000,12,1,2,40,40,860
214,24,A,1,0,0,0,0,0,0,0,0,100000000,11,1,1,40,40,860
215,24,D,0,0,0,1,0,0,0,0,0,000100000,14,1,4,40,40,860
216,24,F,0,0,0,0,0,1,0,0,0,000001000,22,2,2,40,40,860
217,25,C,0,0,1,0,0,0,0,0,0,001000000,13,1,3,40,40,860
218,25,H,0,0,0,0,0,0,0,1,0,000000010,24,2,4,40,40,860
219,25,B,0,1,0,0,0,0,0,0,0,010000000,12,1,2,40,40,860
220,25,F,0,0,0,0,0,1,0,0,0,000001000,22,2,2,40,40,860
221,25,A,1,0,0,0,0,0,0,0,0,100000000,11,1,1,40,40,860
222,25,I,0,0,0,0,0,0,0,0,1,000000001,31,3,1,40,40,860
223,25,D,0,0,0,1,0,0,0,0,0,000100000,14,1,4,40,40,860
224,25,E,0,0,0,0,1,0,0,0,0,000010000,21,2,1,40,40,860
225,25,G,0,0,0,0,0,0,1,0,0,000000100,23,2,3,40,40,860
